"dep","prov","dist","cat_age","N"
"ayacucho","cangallo","los morochucos","80+",210
"ayacucho","cangallo","maria parado de bellido","60-69",165
"ayacucho","cangallo","maria parado de bellido","70-79",137
"ayacucho","cangallo","maria parado de bellido","80+",65
"ayacucho","cangallo","paras","60-69",274
"ayacucho","cangallo","paras","70-79",218
"ayacucho","cangallo","paras","80+",144
"ayacucho","cangallo","totos","60-69",259
"ayacucho","cangallo","totos","70-79",229
"ayacucho","cangallo","totos","80+",126
"ayacucho","huamanga","acocro","60-69",432
"ayacucho","huamanga","acocro","70-79",265
"ayacucho","huamanga","acocro","80+",119
"ayacucho","huamanga","acos vinchos","60-69",229
"ayacucho","huamanga","acos vinchos","70-79",185
"ayacucho","huamanga","acos vinchos","80+",100
"ayacucho","huamanga","andres avelino caceres dorregaray","60-69",1103
"ayacucho","huamanga","andres avelino caceres dorregaray","70-79",558
"ayacucho","huamanga","andres avelino caceres dorregaray","80+",274
"ayacucho","huamanga","ayacucho","60-69",5174
"ayacucho","huamanga","ayacucho","70-79",3445
"ayacucho","huamanga","ayacucho","80+",1879
"ayacucho","huamanga","carmen alto","60-69",954
"ayacucho","huamanga","carmen alto","70-79",522
"ayacucho","huamanga","carmen alto","80+",298
"ayacucho","huamanga","chiara","60-69",324
"ayacucho","huamanga","chiara","70-79",186
"ayacucho","huamanga","chiara","80+",86
"ayacucho","huamanga","jesus nazareno","60-69",854
"ayacucho","huamanga","jesus nazareno","70-79",385
"ayacucho","huamanga","jesus nazareno","80+",201
"ayacucho","huamanga","ocros","60-69",394
"ayacucho","huamanga","ocros","70-79",285
"ayacucho","huamanga","ocros","80+",172
"ayacucho","huamanga","pacaycasa","60-69",164
"ayacucho","huamanga","pacaycasa","70-79",104
"ayacucho","huamanga","pacaycasa","80+",61
"ayacucho","huamanga","quinua","60-69",400
"ayacucho","huamanga","quinua","70-79",292
"ayacucho","huamanga","quinua","80+",169
"ayacucho","huamanga","san jose de ticllas","60-69",115
"ayacucho","huamanga","san jose de ticllas","70-79",89
"ayacucho","huamanga","san jose de ticllas","80+",45
"ayacucho","huamanga","san juan bautista","60-69",1820
"ayacucho","huamanga","san juan bautista","70-79",1005
"ayacucho","huamanga","san juan bautista","80+",601
"ayacucho","huamanga","santiago de pischa","60-69",198
"ayacucho","huamanga","santiago de pischa","70-79",130
"ayacucho","huamanga","santiago de pischa","80+",75
"ayacucho","huamanga","socos","60-69",467
"ayacucho","huamanga","socos","70-79",317
"ayacucho","huamanga","socos","80+",165
"ayacucho","huamanga","tambillo","60-69",248
"ayacucho","huamanga","tambillo","70-79",153
"ayacucho","huamanga","tambillo","80+",90
"ayacucho","huamanga","vinchos","60-69",879
"ayacucho","huamanga","vinchos","70-79",557
"ayacucho","huamanga","vinchos","80+",275
"ayacucho","huanca sancos","carapo","60-69",169
"ayacucho","huanca sancos","carapo","70-79",129
"ayacucho","huanca sancos","carapo","80+",80
"ayacucho","huanca sancos","sacsamarca","60-69",135
"ayacucho","huanca sancos","sacsamarca","70-79",102
"ayacucho","huanca sancos","sacsamarca","80+",47
"ayacucho","huanca sancos","sancos","60-69",246
"ayacucho","huanca sancos","sancos","70-79",150
"ayacucho","huanca sancos","sancos","80+",110
"ayacucho","huanca sancos","santiago de lucanamarca","60-69",151
"ayacucho","huanca sancos","santiago de lucanamarca","70-79",108
"ayacucho","huanca sancos","santiago de lucanamarca","80+",48
"ayacucho","huanta","ayahuanco","60-69",113
"ayacucho","huanta","ayahuanco","70-79",53
"ayacucho","huanta","ayahuanco","80+",25
"ayacucho","huanta","canayre","60-69",125
"ayacucho","huanta","canayre","70-79",29
"ayacucho","huanta","canayre","80+",9
"ayacucho","huanta","chaca","60-69",116
"ayacucho","huanta","chaca","70-79",85
"ayacucho","huanta","chaca","80+",21
"ayacucho","huanta","huamanguilla","60-69",360
"ayacucho","huanta","huamanguilla","70-79",266
"ayacucho","huanta","huamanguilla","80+",148
"ayacucho","huanta","huanta","60-69",2060
"ayacucho","huanta","huanta","70-79",1214
"ayacucho","huanta","huanta","80+",677
"ayacucho","huanta","iguain","60-69",200
"ayacucho","huanta","iguain","70-79",148
"ayacucho","huanta","iguain","80+",82
"ayacucho","huanta","llochegua","60-69",334
"ayacucho","huanta","llochegua","70-79",94
"ayacucho","huanta","llochegua","80+",40
"ayacucho","huanta","luricocha","60-69",358
"ayacucho","huanta","luricocha","70-79",293
"ayacucho","huanta","luricocha","80+",160
"ayacucho","huanta","pucacolpa","60-69",133
"ayacucho","huanta","pucacolpa","70-79",80
"ayacucho","huanta","pucacolpa","80+",29
"ayacucho","huanta","santillana","60-69",252
"ayacucho","huanta","santillana","70-79",163
"ayacucho","huanta","santillana","80+",53
"ayacucho","huanta","sivia","60-69",511
"ayacucho","huanta","sivia","70-79",204
"ayacucho","huanta","sivia","80+",51
"ayacucho","huanta","uchuraccay","60-69",231
"ayacucho","huanta","uchuraccay","70-79",130
"ayacucho","huanta","uchuraccay","80+",47
"ayacucho","la mar","anchihuay","60-69",198
"ayacucho","la mar","anchihuay","70-79",73
"ayacucho","la mar","anchihuay","80+",18
"ayacucho","la mar","anco","60-69",424
"ayacucho","la mar","anco","70-79",215
"ayacucho","la mar","anco","80+",104
"ayacucho","la mar","ayna","60-69",475
"ayacucho","la mar","ayna","70-79",212
"ayacucho","la mar","ayna","80+",66
"ayacucho","la mar","chilcas","60-69",120
"ayacucho","la mar","chilcas","70-79",145
"ayacucho","la mar","chilcas","80+",60
"ayacucho","la mar","chungui","60-69",207
"ayacucho","la mar","chungui","70-79",125
"ayacucho","la mar","chungui","80+",58
"ayacucho","la mar","luis carranza","60-69",85
"ayacucho","la mar","luis carranza","70-79",86
"ayacucho","la mar","luis carranza","80+",42
"ayacucho","la mar","oronccoy","60-69",68
"ayacucho","la mar","oronccoy","70-79",22
"ayacucho","la mar","oronccoy","80+",14
"ayacucho","la mar","samugari","60-69",372
"ayacucho","la mar","samugari","70-79",146
"ayacucho","la mar","samugari","80+",65
"ayacucho","la mar","san miguel","60-69",635
"ayacucho","la mar","san miguel","70-79",452
"ayacucho","la mar","san miguel","80+",278
"ayacucho","la mar","santa rosa","60-69",435
"ayacucho","la mar","santa rosa","70-79",175
"ayacucho","la mar","santa rosa","80+",73
"ayacucho","la mar","tambo","60-69",605
"ayacucho","la mar","tambo","70-79",488
"ayacucho","la mar","tambo","80+",205
"ayacucho","lucanas","aucara","60-69",401
"ayacucho","lucanas","aucara","70-79",341
"ayacucho","lucanas","aucara","80+",209
"ayacucho","lucanas","cabana","60-69",231
"ayacucho","lucanas","cabana","70-79",181
"ayacucho","lucanas","cabana","80+",135
"ayacucho","lucanas","carmen salcedo","60-69",147
"ayacucho","lucanas","carmen salcedo","70-79",143
"ayacucho","lucanas","carmen salcedo","80+",62
"ayacucho","lucanas","chavina","60-69",160
"ayacucho","lucanas","chavina","70-79",130
"ayacucho","lucanas","chavina","80+",91
"ayacucho","lucanas","chipao","60-69",298
"ayacucho","lucanas","chipao","70-79",219
"ayacucho","lucanas","chipao","80+",102
"ayacucho","lucanas","huac-huas","60-69",130
"ayacucho","lucanas","huac-huas","70-79",119
"ayacucho","lucanas","huac-huas","80+",85
"ayacucho","lucanas","laramate","60-69",170
"ayacucho","lucanas","laramate","70-79",130
"ayacucho","lucanas","laramate","80+",70
"ayacucho","lucanas","leoncio prado","60-69",132
"ayacucho","lucanas","leoncio prado","70-79",122
"ayacucho","lucanas","leoncio prado","80+",67
"ayacucho","lucanas","llauta","60-69",99
"ayacucho","lucanas","llauta","70-79",76
"ayacucho","lucanas","llauta","80+",56
"ayacucho","lucanas","lucanas","60-69",182
"ayacucho","lucanas","lucanas","70-79",147
"ayacucho","lucanas","lucanas","80+",77
"ayacucho","lucanas","ocana","60-69",261
"ayacucho","lucanas","ocana","70-79",169
"ayacucho","lucanas","ocana","80+",108
"ayacucho","lucanas","otoca","60-69",157
"ayacucho","lucanas","otoca","70-79",93
"ayacucho","lucanas","otoca","80+",46
"ayacucho","lucanas","puquio","60-69",804
"ayacucho","lucanas","puquio","70-79",574
"ayacucho","lucanas","puquio","80+",396
"ayacucho","lucanas","saisa","60-69",68
"ayacucho","lucanas","saisa","70-79",37
"ayacucho","lucanas","saisa","80+",19
"ayacucho","lucanas","san cristobal","60-69",128
"ayacucho","lucanas","san cristobal","70-79",83
"ayacucho","lucanas","san cristobal","80+",56
"ayacucho","lucanas","san juan","60-69",61
"ayacucho","lucanas","san juan","70-79",63
"ayacucho","lucanas","san juan","80+",29
"ayacucho","lucanas","san pedro","60-69",197
"ayacucho","lucanas","san pedro","70-79",195
"ayacucho","lucanas","san pedro","80+",144
"ayacucho","lucanas","san pedro de palco","60-69",116
"ayacucho","lucanas","san pedro de palco","70-79",67
"ayacucho","lucanas","san pedro de palco","80+",36
"ayacucho","lucanas","sancos","60-69",255
"ayacucho","lucanas","sancos","70-79",174
"ayacucho","lucanas","sancos","80+",100
"ayacucho","lucanas","santa ana de huaycahuacho","60-69",121
"ayacucho","lucanas","santa ana de huaycahuacho","70-79",79
"ayacucho","lucanas","santa ana de huaycahuacho","80+",44
"ayacucho","lucanas","santa lucia","60-69",102
"ayacucho","lucanas","santa lucia","70-79",78
"ayacucho","lucanas","santa lucia","80+",34
"ayacucho","parinacochas","chumpi","60-69",173
"ayacucho","parinacochas","chumpi","70-79",188
"ayacucho","parinacochas","chumpi","80+",110
"ayacucho","parinacochas","coracora","60-69",836
"ayacucho","parinacochas","coracora","70-79",576
"ayacucho","parinacochas","coracora","80+",355
"ayacucho","parinacochas","coronel castaneda","60-69",62
"ayacucho","parinacochas","coronel castaneda","70-79",36
"ayacucho","parinacochas","coronel castaneda","80+",22
"ayacucho","parinacochas","pacapausa","60-69",66
"ayacucho","parinacochas","pacapausa","70-79",59
"ayacucho","parinacochas","pacapausa","80+",26
"ayacucho","parinacochas","pullo","60-69",274
"ayacucho","parinacochas","pullo","70-79",175
"ayacucho","parinacochas","pullo","80+",81
"ayacucho","parinacochas","puyusca","60-69",205
"ayacucho","parinacochas","puyusca","70-79",163
"ayacucho","parinacochas","puyusca","80+",108
"ayacucho","parinacochas","san francisco de ravacayco","60-69",47
"ayacucho","parinacochas","san francisco de ravacayco","70-79",42
"ayacucho","parinacochas","san francisco de ravacayco","80+",35
"ayacucho","parinacochas","upahuacho","60-69",114
"ayacucho","parinacochas","upahuacho","70-79",87
"ayacucho","parinacochas","upahuacho","80+",35
"ayacucho","paucar del sara sara","colta","60-69",38
"ayacucho","paucar del sara sara","colta","70-79",29
"ayacucho","paucar del sara sara","colta","80+",15
"ayacucho","paucar del sara sara","corculla","60-69",48
"ayacucho","paucar del sara sara","corculla","70-79",42
"ayacucho","paucar del sara sara","corculla","80+",30
"ayacucho","paucar del sara sara","lampa","60-69",176
"ayacucho","paucar del sara sara","lampa","70-79",121
"ayacucho","paucar del sara sara","lampa","80+",76
"ayacucho","paucar del sara sara","marcabamba","60-69",62
"ayacucho","paucar del sara sara","marcabamba","70-79",56
"ayacucho","paucar del sara sara","marcabamba","80+",52
"ayacucho","paucar del sara sara","oyolo","60-69",51
"ayacucho","paucar del sara sara","oyolo","70-79",55
"ayacucho","paucar del sara sara","oyolo","80+",33
"ayacucho","paucar del sara sara","pararca","60-69",48
"ayacucho","paucar del sara sara","pararca","70-79",54
"ayacucho","paucar del sara sara","pararca","80+",26
"ayacucho","paucar del sara sara","pausa","60-69",227
"ayacucho","paucar del sara sara","pausa","70-79",148
"ayacucho","paucar del sara sara","pausa","80+",142
"ayacucho","paucar del sara sara","san javier de alpabamba","60-69",42
"ayacucho","paucar del sara sara","san javier de alpabamba","70-79",37
"ayacucho","paucar del sara sara","san javier de alpabamba","80+",13
"ayacucho","paucar del sara sara","san jose de ushua","60-69",24
"ayacucho","paucar del sara sara","san jose de ushua","70-79",18
"ayacucho","paucar del sara sara","san jose de ushua","80+",5
"ayacucho","paucar del sara sara","sara sara","60-69",53
"ayacucho","paucar del sara sara","sara sara","70-79",41
"ayacucho","paucar del sara sara","sara sara","80+",46
"ayacucho","sucre","belen","60-69",31
"ayacucho","sucre","belen","70-79",33
"ayacucho","sucre","belen","80+",15
"ayacucho","sucre","chalcos","60-69",39
"ayacucho","sucre","chalcos","70-79",29
"ayacucho","sucre","chalcos","80+",23
"ayacucho","sucre","chilcayoc","60-69",44
"ayacucho","sucre","chilcayoc","70-79",44
"ayacucho","sucre","chilcayoc","80+",32
"ayacucho","sucre","huacana","60-69",30
"ayacucho","sucre","huacana","70-79",29
"ayacucho","sucre","huacana","80+",28
"ayacucho","sucre","morcolla","60-69",110
"ayacucho","sucre","morcolla","70-79",98
"ayacucho","sucre","morcolla","80+",51
"ayacucho","sucre","paico","60-69",55
"ayacucho","sucre","paico","70-79",52
"ayacucho","sucre","paico","80+",34
"ayacucho","sucre","querobamba","60-69",190
"ayacucho","sucre","querobamba","70-79",149
"ayacucho","sucre","querobamba","80+",86
"ayacucho","sucre","san pedro de larcay","60-69",53
"ayacucho","sucre","san pedro de larcay","70-79",55
"ayacucho","sucre","san pedro de larcay","80+",28
"ayacucho","sucre","san salvador de quije","60-69",82
"ayacucho","sucre","san salvador de quije","70-79",63
"ayacucho","sucre","san salvador de quije","80+",23
"ayacucho","sucre","santiago de paucaray","60-69",79
"ayacucho","sucre","santiago de paucaray","70-79",54
"ayacucho","sucre","santiago de paucaray","80+",32
"ayacucho","sucre","soras","60-69",84
"ayacucho","sucre","soras","70-79",67
"ayacucho","sucre","soras","80+",38
"ayacucho","victor fajardo","alcamenca","60-69",172
"ayacucho","victor fajardo","alcamenca","70-79",143
"ayacucho","victor fajardo","alcamenca","80+",60
"ayacucho","victor fajardo","apongo","60-69",65
"ayacucho","victor fajardo","apongo","70-79",76
"ayacucho","victor fajardo","apongo","80+",32
"ayacucho","victor fajardo","asquipata","60-69",72
"ayacucho","victor fajardo","asquipata","70-79",93
"ayacucho","victor fajardo","asquipata","80+",37
"ayacucho","victor fajardo","canaria","60-69",288
"ayacucho","victor fajardo","canaria","70-79",247
"ayacucho","victor fajardo","canaria","80+",115
"ayacucho","victor fajardo","cayara","60-69",123
"ayacucho","victor fajardo","cayara","70-79",129
"ayacucho","victor fajardo","cayara","80+",56
"ayacucho","victor fajardo","colca","60-69",94
"ayacucho","victor fajardo","colca","70-79",89
"ayacucho","victor fajardo","colca","80+",70
"ayacucho","victor fajardo","hualla","60-69",180
"ayacucho","victor fajardo","hualla","70-79",180
"ayacucho","victor fajardo","hualla","80+",113
"ayacucho","victor fajardo","huamanquiquia","60-69",86
"ayacucho","victor fajardo","huamanquiquia","70-79",61
"ayacucho","victor fajardo","huamanquiquia","80+",38
"ayacucho","victor fajardo","huancapi","60-69",172
"ayacucho","victor fajardo","huancapi","70-79",147
"ayacucho","victor fajardo","huancapi","80+",70
"ayacucho","victor fajardo","huancaraylla","60-69",127
"ayacucho","victor fajardo","huancaraylla","70-79",116
"ayacucho","victor fajardo","huancaraylla","80+",62
"ayacucho","victor fajardo","sarhua","60-69",184
"ayacucho","victor fajardo","sarhua","70-79",144
"ayacucho","victor fajardo","sarhua","80+",91
"ayacucho","victor fajardo","vilcanchos","60-69",193
"ayacucho","victor fajardo","vilcanchos","70-79",149
"ayacucho","victor fajardo","vilcanchos","80+",89
"ayacucho","vilcas huaman","accomarca","60-69",85
"ayacucho","vilcas huaman","accomarca","70-79",109
"ayacucho","vilcas huaman","accomarca","80+",61
"ayacucho","vilcas huaman","carhuanca","60-69",95
"ayacucho","vilcas huaman","carhuanca","70-79",82
"ayacucho","vilcas huaman","carhuanca","80+",58
"ayacucho","vilcas huaman","concepcion","60-69",137
"ayacucho","vilcas huaman","concepcion","70-79",109
"ayacucho","vilcas huaman","concepcion","80+",70
"ayacucho","vilcas huaman","huambalpa","60-69",146
"ayacucho","vilcas huaman","huambalpa","70-79",151
"ayacucho","vilcas huaman","huambalpa","80+",72
"ayacucho","vilcas huaman","independencia","60-69",117
"ayacucho","vilcas huaman","independencia","70-79",117
"ayacucho","vilcas huaman","independencia","80+",60
"ayacucho","vilcas huaman","saurama","60-69",90
"ayacucho","vilcas huaman","saurama","70-79",81
"ayacucho","vilcas huaman","saurama","80+",65
"ayacucho","vilcas huaman","vilcas huaman","60-69",439
"ayacucho","vilcas huaman","vilcas huaman","70-79",372
"ayacucho","vilcas huaman","vilcas huaman","80+",187
"ayacucho","vilcas huaman","vischongo","60-69",272
"ayacucho","vilcas huaman","vischongo","70-79",218
"ayacucho","vilcas huaman","vischongo","80+",122
"cajamarca","cajabamba","cachachi","60-69",1172
"cajamarca","cajabamba","cachachi","70-79",733
"cajamarca","cajabamba","cachachi","80+",435
"cajamarca","cajabamba","cajabamba","60-69",1881
"cajamarca","cajabamba","cajabamba","70-79",1218
"cajamarca","cajabamba","cajabamba","80+",771
"cajamarca","cajabamba","condebamba","60-69",787
"cajamarca","cajabamba","condebamba","70-79",579
"cajamarca","cajabamba","condebamba","80+",325
"cajamarca","cajabamba","sitacocha","60-69",471
"cajamarca","cajabamba","sitacocha","70-79",283
"cajamarca","cajabamba","sitacocha","80+",150
"cajamarca","cajamarca","asuncion","60-69",555
"cajamarca","cajamarca","asuncion","70-79",459
"cajamarca","cajamarca","asuncion","80+",278
"cajamarca","cajamarca","cajamarca","60-69",11314
"cajamarca","cajamarca","cajamarca","70-79",6052
"cajamarca","cajamarca","cajamarca","80+",3250
"cajamarca","cajamarca","chetilla","60-69",232
"cajamarca","cajamarca","chetilla","70-79",148
"cajamarca","cajamarca","chetilla","80+",62
"cajamarca","cajamarca","cospan","60-69",445
"cajamarca","cajamarca","cospan","70-79",294
"cajamarca","cajamarca","cospan","80+",185
"cajamarca","cajamarca","encanada","60-69",1195
"cajamarca","cajamarca","encanada","70-79",766
"cajamarca","cajamarca","encanada","80+",325
"cajamarca","cajamarca","jesus","60-69",879
"cajamarca","cajamarca","jesus","70-79",554
"cajamarca","cajamarca","jesus","80+",393
"cajamarca","cajamarca","llacanora","60-69",295
"cajamarca","cajamarca","llacanora","70-79",206
"cajamarca","cajamarca","llacanora","80+",131
"cajamarca","cajamarca","los banos del inca","60-69",2015
"cajamarca","cajamarca","los banos del inca","70-79",1192
"cajamarca","cajamarca","los banos del inca","80+",647
"cajamarca","cajamarca","magdalena","60-69",513
"cajamarca","cajamarca","magdalena","70-79",381
"cajamarca","cajamarca","magdalena","80+",213
"cajamarca","cajamarca","matara","60-69",254
"cajamarca","cajamarca","matara","70-79",225
"cajamarca","cajamarca","matara","80+",128
"cajamarca","cajamarca","namora","60-69",533
"cajamarca","cajamarca","namora","70-79",334
"cajamarca","cajamarca","namora","80+",180
"cajamarca","cajamarca","san juan","60-69",283
"cajamarca","cajamarca","san juan","70-79",243
"cajamarca","cajamarca","san juan","80+",116
"cajamarca","celendin","celendin","60-69",1624
"cajamarca","celendin","celendin","70-79",1121
"cajamarca","celendin","celendin","80+",743
"cajamarca","celendin","chumuch","60-69",146
"cajamarca","celendin","chumuch","70-79",102
"cajamarca","celendin","chumuch","80+",65
"cajamarca","celendin","cortegana","60-69",340
"cajamarca","celendin","cortegana","70-79",226
"cajamarca","celendin","cortegana","80+",108
"cajamarca","celendin","huasmin","60-69",721
"cajamarca","celendin","huasmin","70-79",487
"cajamarca","celendin","huasmin","80+",253
"cajamarca","celendin","jorge chavez","60-69",38
"cajamarca","celendin","jorge chavez","70-79",39
"cajamarca","celendin","jorge chavez","80+",19
"cajamarca","celendin","jose galvez","60-69",211
"cajamarca","celendin","jose galvez","70-79",175
"cajamarca","celendin","jose galvez","80+",126
"cajamarca","celendin","la libertad de pallan","60-69",392
"cajamarca","celendin","la libertad de pallan","70-79",266
"cajamarca","celendin","la libertad de pallan","80+",107
"cajamarca","celendin","miguel iglesias","60-69",198
"cajamarca","celendin","miguel iglesias","70-79",123
"cajamarca","celendin","miguel iglesias","80+",80
"cajamarca","celendin","oxamarca","60-69",302
"cajamarca","celendin","oxamarca","70-79",235
"cajamarca","celendin","oxamarca","80+",94
"cajamarca","celendin","sorochuco","60-69",539
"cajamarca","celendin","sorochuco","70-79",395
"cajamarca","celendin","sorochuco","80+",211
"cajamarca","celendin","sucre","60-69",309
"cajamarca","celendin","sucre","70-79",248
"cajamarca","celendin","sucre","80+",139
"cajamarca","celendin","utco","60-69",65
"cajamarca","celendin","utco","70-79",61
"cajamarca","celendin","utco","80+",36
"cajamarca","chota","anguia","60-69",212
"cajamarca","chota","anguia","70-79",141
"cajamarca","chota","anguia","80+",108
"cajamarca","chota","chadin","60-69",230
"cajamarca","chota","chadin","70-79",142
"cajamarca","chota","chadin","80+",63
"cajamarca","chota","chalamarca","60-69",618
"cajamarca","chota","chalamarca","70-79",412
"cajamarca","chota","chalamarca","80+",217
"cajamarca","chota","chiguirip","60-69",267
"cajamarca","chota","chiguirip","70-79",206
"cajamarca","chota","chiguirip","80+",133
"cajamarca","chota","chimban","60-69",132
"cajamarca","chota","chimban","70-79",94
"cajamarca","chota","chimban","80+",42
"cajamarca","chota","choropampa","60-69",143
"cajamarca","chota","choropampa","70-79",94
"cajamarca","chota","choropampa","80+",53
"cajamarca","chota","chota","60-69",2767
"cajamarca","chota","chota","70-79",1920
"cajamarca","chota","chota","80+",1327
"cajamarca","chota","cochabamba","60-69",418
"cajamarca","chota","cochabamba","70-79",308
"cajamarca","chota","cochabamba","80+",210
"cajamarca","chota","conchan","60-69",354
"cajamarca","chota","conchan","70-79",282
"cajamarca","chota","conchan","80+",157
"cajamarca","chota","huambos","60-69",567
"cajamarca","chota","huambos","70-79",480
"cajamarca","chota","huambos","80+",323
"cajamarca","chota","lajas","60-69",768
"cajamarca","chota","lajas","70-79",584
"cajamarca","chota","lajas","80+",395
"cajamarca","chota","llama","60-69",589
"cajamarca","chota","llama","70-79",429
"cajamarca","chota","llama","80+",249
"cajamarca","chota","miracosta","60-69",213
"cajamarca","chota","miracosta","70-79",173
"cajamarca","chota","miracosta","80+",88
"cajamarca","chota","paccha","60-69",318
"cajamarca","chota","paccha","70-79",189
"cajamarca","chota","paccha","80+",108
"cajamarca","chota","pion","60-69",74
"cajamarca","chota","pion","70-79",51
"cajamarca","chota","pion","80+",35
"cajamarca","chota","querocoto","60-69",608
"cajamarca","chota","querocoto","70-79",397
"cajamarca","chota","querocoto","80+",256
"cajamarca","chota","san juan de licupis","60-69",98
"cajamarca","chota","san juan de licupis","70-79",100
"cajamarca","chota","san juan de licupis","80+",32
"cajamarca","chota","tacabamba","60-69",1103
"cajamarca","chota","tacabamba","70-79",770
"cajamarca","chota","tacabamba","80+",451
"cajamarca","chota","tocmoche","60-69",85
"cajamarca","chota","tocmoche","70-79",64
"cajamarca","chota","tocmoche","80+",58
"cajamarca","contumaza","chilete","60-69",211
"cajamarca","contumaza","chilete","70-79",143
"cajamarca","contumaza","chilete","80+",88
"cajamarca","contumaza","contumaza","60-69",581
"cajamarca","contumaza","contumaza","70-79",382
"cajamarca","contumaza","contumaza","80+",229
"cajamarca","contumaza","cupisnique","60-69",121
"cajamarca","contumaza","cupisnique","70-79",100
"cajamarca","contumaza","cupisnique","80+",52
"cajamarca","contumaza","guzmango","60-69",183
"cajamarca","contumaza","guzmango","70-79",146
"cajamarca","contumaza","guzmango","80+",83
"cajamarca","contumaza","san benito","60-69",234
"cajamarca","contumaza","san benito","70-79",181
"cajamarca","contumaza","san benito","80+",95
"cajamarca","contumaza","santa cruz de toled","60-69",60
"cajamarca","contumaza","santa cruz de toled","70-79",45
"cajamarca","contumaza","santa cruz de toled","80+",33
"cajamarca","contumaza","tantarica","60-69",213
"cajamarca","contumaza","tantarica","70-79",145
"cajamarca","contumaza","tantarica","80+",86
"cajamarca","contumaza","yonan","60-69",633
"cajamarca","contumaza","yonan","70-79",396
"cajamarca","contumaza","yonan","80+",267
"cajamarca","cutervo","callayuc","60-69",523
"cajamarca","cutervo","callayuc","70-79",369
"cajamarca","cutervo","callayuc","80+",186
"cajamarca","cutervo","choros","60-69",175
"cajamarca","cutervo","choros","70-79",163
"cajamarca","cutervo","choros","80+",72
"cajamarca","cutervo","cujillo","60-69",142
"cajamarca","cutervo","cujillo","70-79",65
"cajamarca","cutervo","cujillo","80+",47
"cajamarca","cutervo","cutervo","60-69",3104
"cajamarca","cutervo","cutervo","70-79",2040
"cajamarca","cutervo","cutervo","80+",1072
"cajamarca","cutervo","la ramada","60-69",223
"cajamarca","cutervo","la ramada","70-79",138
"cajamarca","cutervo","la ramada","80+",84
"cajamarca","cutervo","pimpingos","60-69",344
"cajamarca","cutervo","pimpingos","70-79",220
"cajamarca","cutervo","pimpingos","80+",129
"cajamarca","cutervo","querocotillo","60-69",879
"cajamarca","cutervo","querocotillo","70-79",575
"cajamarca","cutervo","querocotillo","80+",292
"cajamarca","cutervo","san andres de cutervo","60-69",304
"cajamarca","cutervo","san andres de cutervo","70-79",176
"cajamarca","cutervo","san andres de cutervo","80+",93
"cajamarca","cutervo","san juan de cutervo","60-69",104
"cajamarca","cutervo","san juan de cutervo","70-79",52
"cajamarca","cutervo","san juan de cutervo","80+",49
"cajamarca","cutervo","san luis de lucma","60-69",199
"cajamarca","cutervo","san luis de lucma","70-79",141
"cajamarca","cutervo","san luis de lucma","80+",93
"cajamarca","cutervo","santa cruz","60-69",159
"cajamarca","cutervo","santa cruz","70-79",91
"cajamarca","cutervo","santa cruz","80+",63
"cajamarca","cutervo","santo domingo de la capilla","60-69",328
"cajamarca","cutervo","santo domingo de la capilla","70-79",215
"cajamarca","cutervo","santo domingo de la capilla","80+",95
"cajamarca","cutervo","santo tomas","60-69",481
"cajamarca","cutervo","santo tomas","70-79",267
"cajamarca","cutervo","santo tomas","80+",157
"cajamarca","cutervo","socota","60-69",621
"cajamarca","cutervo","socota","70-79",417
"cajamarca","cutervo","socota","80+",248
"cajamarca","cutervo","toribio casanova","60-69",97
"cajamarca","cutervo","toribio casanova","70-79",75
"cajamarca","cutervo","toribio casanova","80+",44
"cajamarca","hualgayoc","bambamarca","60-69",3912
"cajamarca","hualgayoc","bambamarca","70-79",2713
"cajamarca","hualgayoc","bambamarca","80+",1502
"cajamarca","hualgayoc","chugur","60-69",232
"cajamarca","hualgayoc","chugur","70-79",188
"cajamarca","hualgayoc","chugur","80+",89
"cajamarca","hualgayoc","hualgayoc","60-69",871
"cajamarca","hualgayoc","hualgayoc","70-79",536
"cajamarca","hualgayoc","hualgayoc","80+",304
"cajamarca","jaen","bellavista","60-69",989
"cajamarca","jaen","bellavista","70-79",666
"cajamarca","jaen","bellavista","80+",303
"cajamarca","jaen","chontali","60-69",526
"cajamarca","jaen","chontali","70-79",329
"cajamarca","jaen","chontali","80+",177
"cajamarca","jaen","colasay","60-69",697
"cajamarca","jaen","colasay","70-79",474
"cajamarca","jaen","colasay","80+",230
"cajamarca","jaen","huabal","60-69",366
"cajamarca","jaen","huabal","70-79",216
"cajamarca","jaen","huabal","80+",116
"cajamarca","jaen","jaen","60-69",4733
"cajamarca","jaen","jaen","70-79",2529
"cajamarca","jaen","jaen","80+",1269
"cajamarca","jaen","las pirias","60-69",244
"cajamarca","jaen","las pirias","70-79",146
"cajamarca","jaen","las pirias","80+",73
"cajamarca","jaen","pomahuaca","60-69",468
"cajamarca","jaen","pomahuaca","70-79",266
"cajamarca","jaen","pomahuaca","80+",153
"cajamarca","jaen","pucara","60-69",392
"cajamarca","jaen","pucara","70-79",248
"cajamarca","jaen","pucara","80+",137
"cajamarca","jaen","sallique","60-69",388
"cajamarca","jaen","sallique","70-79",222
"cajamarca","jaen","sallique","80+",128
"cajamarca","jaen","san felipe","60-69",347
"cajamarca","jaen","san felipe","70-79",181
"cajamarca","jaen","san felipe","80+",130
"cajamarca","jaen","san jose del alto","60-69",344
"cajamarca","jaen","san jose del alto","70-79",220
"cajamarca","jaen","san jose del alto","80+",104
